word,count
no,136967
acute,37845
abnormality,23427
the,580200
abdomen,4944
or,130461
pelvis,4650
unchanged,15418
aneurysmal,181
dilation,1234
of,367326
celiac,191
measuring,8230
up,11493
to,68131
cm,17732
hydrocephalus,3266
herniation,2084
please,3722
note,1755
that,2168
if,7226
there,35292
is,96863
high,2153
clinical,7982
suspicion,396
for,32776
intracranial,10575
mass,12314
stroke,80
mri,7006
more,2562
sensitive,752
redundant,16
bilateral,14125
optic,493
nerves,155
with,154072
symmetric,369
enlargement,1082
intraorbital,66
enlarged,2874
from,15295
prior,12191
ct,11866
further,6725
characterization,449
mr,1946
orbits,179
and,238590
without,13259
contrast,3142
recommended,4164
incidental,748
made,412
partially,1767
empty,61
sella,220
dating,311
back,714
significant,9547
progression,1192
new,9283
peritoneal,659
implants,146
worsening,1627
omental,119
disease,12081
moderate,6055
volume,2583
clot,149
burden,649
in,145869
iliofemoral,8
veins,783
left,50597
percutaneous,695
nephrostomy,120
tube,5898
definite,2442
evidence,53559
abdominal,6566
pelvic,2582
multiple,4947
fluid,11572
filled,632
loops,777
bowel,5495
throughout,2427
correlate,3235
movement,21
diarrheal,37
state,224
consolidations,480
particularly,372
dependent,372
lower,10012
lobes,1006
redemonstration,3592
possible,3158
atoll,3
sign,153
right,56266
lobe,8742
these,3592
findings,11649
are,35485
nonspecific,3445
may,16163
represent,10324
lung,7809
injury,4250
component,1039
organizing,128
pneumonia,1344
mild,12775
main,976
pulmonary,9858
artery,4398
raises,171
possibility,402
hypertension,1349
uncomplicated,121
appendicitis,389
hepatic,6321
steatosis,613
noncontrast,804
size,19154
small,15602
pseudoaneurysm,221
infrarenal,247
aorta,1260
interval,13931
mm,8943
growth,1617
largest,673
nodule,3641
other,3650
nodules,4249
not,9044
significantly,1161
changed,1038
within,15799
limitation,71
compatible,4544
gradual,34
metastatic,5557
enhancing,2766
inguinal,590
lymph,3306
node,1461
suspicious,6017
attention,1755
on,163837
follow,6031
otherwise,4303
unremarkable,7542
fracture,29053
malalignment,1029
vertebral,5166
body,5601
heights,1609
maintained,384
prevertebral,946
soft,19636
tissue,18861
swelling,13380
status,3526
post,5836
anterior,6704
cervical,8532
spinal,2946
fusion,1068
hardware,3524
complication,1453
redemonstrated,1127
postoperative,1268
appearance,5810
hepatectomy,61
perihepatic,216
less,1741
likely,11514
seroma,108
biliary,2144
leak,347
can,2545
be,15125
evaluated,2156
dedicated,1515
nuclear,1298
medicine,1345
scan,916
eovist,52
large,4663
parapelvic,21
cyst,2549
obstructing,480
renal,4978
causing,376
hydronephrosis,2250
ureter,361
has,9346
minimal,1828
intraluminal,111
material,1120
dilated,1266
final,1565
report,150819
above,5993
differs,30
preliminary,132
interpretation,76465
issued,84
at,28321
time,1416
which,15686
described,5298
caliectasis,67
rather,172
than,3718
this,92273
change,9020
was,12823
called,517
rn,69
meyer,4
discharge,61
by,88793
dr,6690
jason,2322
md,9268
am,27841
apparent,596
osseous,14737
dehiscence,102
cribriform,23
will,577
presently,6
requested,72
peripheral,912
wedge,353
shaped,499
nonenhancing,245
consolidation,3285
central,4333
groundglass,1631
inferior,3827
segment,2099
lingula,239
almost,64
certainly,36
represents,1563
infarct,1848
due,3117
recent,2175
though,684
embolism,1228
visualized,4103
study,4374
would,1018
also,3315
account,145
unilateral,57
pleural,21015
seen,12503
approximately,2778
frontal,3404
scalp,802
laceration,563
underlying,2363
calvarial,550
traumatic,2888
spine,10179
grade,1606
anterolisthesis,504
basis,321
facet,1555
arthrosis,338
per,949
fleischner,184
society,4935
patient,9697
low,4696
risk,1852
primary,887
year,5118
chest,5862
considered,1208
sinus,1432
inflammatory,1423
compared,8754
placement,1928
drainage,587
catheters,157
tips,201
midabdomen,29
decrease,2191
associated,5719
collections,887
collection,3798
cutaneous,150
catheter,3137
mid,2923
root,603
mesentery,95
surgical,2729
changes,10131
consistent,8392
orthotopic,39
liver,6983
transplant,1137
angulated,81
proximal,4953
humeral,1241
diaphysis,888
attenuation,446
lesion,6087
intramedullary,603
cortical,1562
pathologic,348
adjacent,3829
hematoma,3018
suspected,142
posterior,8664
rib,2069
additional,4919
radius,960
breakthrough,15
along,3725
its,665
ulnar,1267
aspect,3435
probable,415
extraosseous,26
extension,1989
total,1102
proctocolectomy,17
pouch,78
ileoanal,7
anastomosis,417
obstruction,1477
persistent,2343
stricture,138
narrowing,5881
distal,8687
few,589
scattered,2125
foci,1553
calcium,153
ascending,548
severe,4453
coronary,385
calcification,1045
expected,1510
related,3390
whipple,51
gas,3166
containing,1005
surrounding,2356
smv,60
reconstruction,132
slightly,2367
decreased,2102
now,2130
measures,3136
previously,3815
periodontal,86
as,15351
well,3725
seated,148
maxillary,821
mandibular,397
dental,138
dissection,629
irregularity,915
level,3072
reconstitution,118
either,906
reflects,355
skull,385
base,2328
sluggish,3
flow,1962
proximally,103
near,2341
occlusion,794
history,2499
trauma,1592
patent,2169
vasculature,791
structure,486
incompletely,738
better,2254
subsequent,312
most,4509
retroperitoneal,648
clinically,4728
queried,383
perianal,69
fistula,493
seton,12
place,437
characterized,585
examination,75347
nonobstructive,1756
nephrolithiasis,315
wall,3985
thickening,3815
predominantly,591
jejunum,84
increased,5286
enhancement,3624
